"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Gebouwgebonden buitenruimte","Externe bergruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Achtertuin","Ligging tuin","Balkon/dakterras","Schuur/berging","Soort parkeergelegenheid","Bijdrage VvE","Soort appartement","Gelegen op","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Specifiek","Overige inpandige ruimte","Voorzieningen","Voorlopig energielabel"
"1","Monarda 5","2 februari 2021","16 februari 2021","14 dagen","€ 299.000 kosten koper","€ 2.718","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1964","Zadeldak bedekt met pannen","110 m²","4 m²","7 m²","170 m²","365 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","F Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel en elektrische boiler","Remeha HR (gas gestookt combiketel uit 2019, eigendom)","170 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","52 m² (8,55 meter diep en 6,05 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Balkon aanwezig","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Reigerstraat 70","6 januari 2021","1 februari 2021","3 weken","€ 127.500 kosten koper","€ 2.602","Verkocht",NA,"Bestaande bouw","1954","Plat dak bedekt met bitumineuze dakbedekking","49 m²","3 m²",NA,NA,"160 m³","3 kamers (2 slaapkamers)","1 apart toilet",NA,"1 woonlaag","C Wat betekent dit?","Dubbel glas en muurisolatie",NA,NA,NA,NA,NA,"In woonwijk en open ligging",NA,NA,NA,"Balkon aanwezig","Vrijstaande stenen berging","Openbaar parkeren","€ 89,00 per maand","Portiekflat (appartement)","2e woonlaag","Ja","Ja","Ja (€ 89,00 per maand)","Ja","Ja","Ja",NA,NA,NA,NA
"3","Blekersdijk 43","29 januari 2021","4 maart 2021","4 weken","€ 549.500 kosten koper","€ 2.939","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1900","Zadeldak bedekt met pannen","187 m²","11 m²","3 m²","144 m²","822 m³","7 kamers (5 slaapkamers)","2 badkamers en 2 aparte toiletten","2 ligbaden, douche en toilet","3 woonlagen en een kelder","E Wat betekent dit?","Dubbel glas en voorzetramen","Cv-ketel","Cv-ketel","Nefit Ecomline (gas gestookt combiketel uit 2001, eigendom)","144 m²","Volle eigendom","Beschutte ligging en in centrum","Achtertuin","66 m² (11 meter diep en 6 meter breed)","Gelegen op het zuidwesten","Balkon aanwezig","Vrijstaande houten berging","Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beschermd stads- of dorpsgezicht","40 m²","TV kabel",NA
"4","Jacob van Lennepstraat 22","10 februari 2021","10 maart 2021","4 weken","€ 200.000 kosten koper","€ 2.222","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1928","Plat dak bedekt met bitumineuze dakbedekking","90 m²","7 m²","9 m²","124 m²","325 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen",NA,NA,"Gaskachels","Geiser (huur)",NA,"124 m²","Volle eigendom","Aan rustige weg, in centrum en in woonwijk","Achtertuin en voortuin","45 m² (8,5 meter diep en 5,6 meter breed)","Gelegen op het noordoosten bereikbaar via achterom",NA,"Vrijstaande houten berging","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natuurlijke ventilatie en rookkanaal","F Wat betekent dit?"
"5","Anthonie Camerlingstraat 21","26 januari 2021","19 februari 2021","3 weken","€ 175.000 kosten koper","€ 2.778","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1885","Zadeldak bedekt met pannen","63 m²",NA,NA,"46 m²","235 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet",NA,"2 woonlagen","E Wat betekent dit?","Dakisolatie en grotendeels dubbelglas","Cv-ketel","Cv-ketel","Vaillant (gas gestookt combiketel uit 2001, eigendom)","46 m²","Volle eigendom","In centrum","Patio/atrium",NA,"Gelegen op het zuidwesten",NA,NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glasvezelkabel",NA
"6","Abraham Kuyperweg 250","24 december 2020","29 januari 2021","5 weken","€ 175.000 kosten koper","€ 1.842","Verkocht",NA,"Bestaande bouw","1967","Plat dak","95 m²","12 m²","12 m²",NA,"319 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Remeha Tzerra ( combiketel uit 2015, eigendom)",NA,"Volle eigendom","Aan rustige weg, beschutte ligging, in woonwijk, open ligging en vrij uitzicht",NA,NA,NA,"Balkon aanwezig","Inpandig","Openbaar parkeren","€ 107,00 per maand","Portiekflat (appartement)","3e woonlaag","Ja","Ja","Ja (€ 107,00 per maand)","Ja","Ja","Ja","Gedeeltelijk gestoffeerd","1 m²","Elektra","E Wat betekent dit?"
"7","Suze Groeneweg-erf 428","18 december 2020","3 maart 2021","2 maanden","€ 339.950 kosten koper","€ 3.616",NA,"Eengezinswoning, hoekwoning","Bestaande bouw","1984",NA,NA,NA,NA,NA,"351 m³","5 kamers (4 slaapkamers)",NA,NA,NA,"C Wat betekent dit?",NA,NA,NA,NA,"94 m² wonen / 185 m² perceel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jan Vethkade 23","21 januari 2021","15 februari 2021","3 weken","€ 309.500 kosten koper","€ 2.920","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1933","Zadeldak bedekt met pannen","106 m²","3 m²","8 m²","153 m²","373 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","E Wat betekent dit?","Grotendeels dubbelglas","Cv-ketel","Cv-ketel","Remeha Calenta (gas gestookt combiketel uit 2012, eigendom)","153 m²","Volle eigendom","In woonwijk en vrij uitzicht","Achtertuin en voortuin","47 m² (11,68 meter diep en 4 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Balkon aanwezig","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elektra",NA
"9","René van Chalônstraat 47","12 december 2020","2 februari 2021","7 weken","€ 195.000 kosten koper","€ 3.047","Verkocht",NA,"Bestaande bouw","1954","Plat dak bedekt met bitumineuze dakbedekking","64 m²",NA,"5 m²",NA,"214 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen",NA,"Geen isolatie","Cv-ketel","Cv-ketel","Intergas Kombi Kompakt HRE 24/18 (gas gestookt combiketel uit 2007, eigendom)",NA,"Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin en voortuin","144 m² (16 meter diep en 9 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom",NA,"Vrijstaande stenen berging","Openbaar parkeren","€ 104,82 per maand","Benedenwoning (appartement)","Begane grond","Ja","Ja","Ja (€ 104,82 per maand)","Ja","Ja","Ja",NA,NA,"Elektra","E Wat betekent dit?"
"10","Toloysenstraat 1","28 januari 2021","17 februari 2021","2 weken","€ 225.000 kosten koper","€ 3.125","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1922","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","72 m²",NA,"4 m²","71 m²","240 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een vliering","E Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel","Intergas HR Eco (gas gestookt combiketel uit 2019, eigendom)","71 m²","Volle eigendom","In woonwijk","Achtertuin","27 m² (5,4 meter diep en 5 meter breed)","Gelegen op het westen bereikbaar via achterom",NA,"Vrijstaande houten berging","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Buitenzonwering, glasvezelkabel en natuurlijke ventilatie",NA
