"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Externe bergruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","STRIJP G 1029","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Achtertuin","Ligging tuin","Schuur/berging","Soort parkeergelegenheid","Overige inpandige ruimte","Gebouwgebonden buitenruimte","Soort garage","Capaciteit","Cv-ketel","Specifiek","Servicekosten","Balkon/dakterras","Bijdrage VvE","Soort appartement","Toegankelijkheid"
"1","Grastapijt 5","25 februari 2021","8 maart 2021","11 dagen","€ 300.000 kosten koper","€ 3.125","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2003","Plat dak bedekt met bitumineuze dakbedekking","96 m²","12 m²","156 m²","330 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming","Kadastrale kaart","156 m²","Volle eigendom","Aan rustige weg","Achtertuin en voortuin","83 m² (15 meter diep en 5,5 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande houten berging","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Grassijsje 22","22 januari 2021","12 februari 2021","3 weken","€ 920.000 kosten koper","€ 3.036","Verkocht","Herenhuis, vrijstaande woning","Bestaande bouw","2003","Zadeldak bedekt met pannen","303 m²",NA,"418 m²","1.212 m³","9 kamers (4 slaapkamers)","2 badkamers en 2 aparte toiletten","Ligbad en douche","2 woonlagen, een zolder en een kelder","Elektrische deur, elektra, verwarming en stromend water","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"418 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","129 m² (8,3 meter diep en 15,5 meter breed)","Gelegen op het zuiden bereikbaar via achterom",NA,"Op eigen terrein en openbaar parkeren","41 m²","48 m²","Aangebouwde stenen garage","1 auto",NA,NA,NA,NA,NA,NA,NA
"3","Scheidingstraat 64","21 januari 2021","5 februari 2021","2 weken","€ 350.000 kosten koper","€ 3.684","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1928","Zadeldak bedekt met pannen","95 m²","10 m²","128 m²","374 m³","5 kamers (4 slaapkamers)","1 badkamer","Douche en toilet","3 woonlagen","Elektra","F Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel",NA,"128 m²","Volle eigendom","Aan rustige weg","Achtertuin","94 m² (12,5 meter diep en 7,5 meter breed)","Gelegen op het westen","Vrijstaande stenen berging","Openbaar parkeren",NA,"1 m²",NA,NA,"HRE Intergas (gas gestookt uit 2018, eigendom)",NA,NA,NA,NA,NA,NA
"4","St Jorislaan 5","6 januari 2021","17 februari 2021","6 weken","€ 495.000 kosten koper","€ 3.561","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1938","Zadeldak bedekt met pannen","139 m²","9 m²","134 m²","485 m³","6 kamers (5 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en 2 toiletten","3 woonlagen","Elektra","E Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"134 m²","Volle eigendom","In centrum en in woonwijk","Achtertuin en voortuin","52 m² (8,62 meter diep en 6 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging","Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,"5 m²",NA,NA,"Nefit Topline (gas gestookt combiketel uit 2013, eigendom)","Beschermd stads- of dorpsgezicht en monumentaal pand",NA,NA,NA,NA,NA
"5","Grasvogel 23","28 december 2020","1 februari 2021","5 weken","€ 425.000 kosten koper","€ 2.623","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2006","Plat dak","162 m²","6 m²","149 m²","570 m³","7 kamers (6 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Centrale voorziening",NA,"134 m²","Volle eigendom","Aan rustige weg en vrij uitzicht","Achtertuin en voortuin","68 m² (12 meter diep en 5,7 meter breed)","Gelegen op het westen bereikbaar via achterom","Vrijstaande stenen berging","Op eigen terrein en openbaar parkeren",NA,"3 m²","Parkeerplaats",NA,NA,NA,"€ 12 per maand","Balkon aanwezig en frans balkon aanwezig",NA,NA,NA
"6","Graaf Adolfstraat 16","6 maart 2021","19 maart 2021","13 dagen","€ 250.000 kosten koper","€ 3.968","Verkocht",NA,"Bestaande bouw","1972","Plat dak","63 m²","6 m²",NA,"212 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Lift en TV kabel","C Wat betekent dit?","Dubbel glas","Blokverwarming","Elektrische boiler",NA,NA,"Volle eigendom","Aan park, in woonwijk en vrij uitzicht",NA,NA,NA,"Box","Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,"16 m²",NA,NA,NA,NA,NA,"Balkon aanwezig","€ 112,00 per maand","Portiekflat (appartement)","Toegankelijk voor ouderen"
"7","Zandkasteel 114","3 februari 2021","19 februari 2021","2 weken","€ 300.000 kosten koper","€ 3.488","Verkocht",NA,"Bestaande bouw","2004","Plat dak bedekt met bitumineuze dakbedekking","86 m²","4 m²",NA,"270 m³","3 kamers (2 slaapkamers)","1 badkamer","Ligbad en toilet","5 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, driedubbel glas, dubbel glas, eco-bouw, gedeeltelijk dubbel glas, geen spouw, grotendeels dubbelglas, HR-glas, kierdichting, muurisolatie, vloerisolatie, volledig geïsoleerd en voorzetramen","Stadsverwarming","Centrale voorziening",NA,NA,"Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Zonneterras",NA,NA,"Inpandig","Op afgesloten terrein en op eigen terrein",NA,"10 m²","Parkeerplaats",NA,NA,NA,"€ 162 per maand",NA,"€ 162,00 per maand","Portiekflat (appartement)",NA
"8","Zandhaai 26","13 januari 2021","1 februari 2021","2 weken","€ 375.000 kosten koper","€ 3.074","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1999","Lessenaardak bedekt met kunststof en overig","122 m²","9 m²","144 m²","417 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een zolder","Elektra",NA,"Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"144 m²","Volle eigendom","In woonwijk en vrij uitzicht","Achtertuin en voortuin","60 m² (10 meter diep en 6 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Karel de Grotelaan 111","21 januari 2021","6 februari 2021","2 weken","€ 250.000 kosten koper","€ 3.472","Verkocht",NA,"Bestaande bouw","1955","Plat dak bedekt met bitumineuze dakbedekking","72 m²",NA,NA,"245 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In woonwijk",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"15 m²",NA,NA,"Nefit (gas gestookt combiketel uit 2007, eigendom)",NA,"€ 209 per maand","Balkon aanwezig",NA,"Portiekflat (appartement)",NA
"10","Busonilaan 8","26 februari 2021","18 maart 2021","2 weken","€ 235.000 kosten koper","€ 2.500","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1959",NA,"94 m²","9 m²","170 m²","361 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Verwarming",NA,"Grotendeels dubbelglas","Cv-ketel","Cv-ketel",NA,"170 m²","Volle eigendom","Aan rustige weg","Achtertuin en voortuin","75 m² (12,5 meter diep en 6 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","8 m²",NA,NA,NA,"Remeha (gas gestookt combiketel uit 2019, eigendom)","Kluswoning",NA,NA,NA,NA,NA
