"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Bijdrage VvE","Soort appartement","Soort bouw","Bouwjaar","Soort dak","Wonen","Gebouwgebonden buitenruimte","Externe bergruimte","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Gelegen op","Voorzieningen","Voorlopig energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Eigendomssituatie","Ligging","Balkon/dakterras","Schuur/berging","Soort garage","Soort parkeergelegenheid","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Soort woonhuis","Overige inpandige ruimte","Perceel","Energielabel","Oppervlakte","Tuin","Achtertuin","Ligging tuin","Capaciteit"
"1","Ponjaardruwe 131 C","20 februari 2021","5 maart 2021","13 dagen","€ 249.000 kosten koper","€ 2.541","Verkocht","€ 189,21 per maand","Galerijflat (appartement)","Bestaande bouw","2008","Plat dak","98 m²","7 m²","8 m²","295 m³","3 kamers (2 slaapkamers)","1 badkamer","Toilet","1 woonlaag","2e woonlaag","Elektra","A Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Hesi HR combi (gas gestookt combiketel uit 2019, huur)","Volle eigendom","In woonwijk","Balkon aanwezig","Inpandig","Parkeerplaats","Openbaar parkeren","Ja","Ja","Ja (€ 189,21 per maand)","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cyclopenhof 5","26 januari 2021","12 februari 2021","2 weken","€ 310.000 kosten koper","€ 2.583","Verkocht",NA,NA,"Bestaande bouw","1980","Zadeldak bedekt met pannen","120 m²",NA,"5 m²","480 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,"Elektrische deur, vliering en elektra",NA,"Dakisolatie","Cv-ketel, pellet burner en gedeeltelijke vloerverwarming","Cv-ketel","Remeha HR Quinta (gas gestookt combiketel uit 2008, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaand kunststof","Inpandig","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","17 m²","201 m²","C Wat betekent dit?","201 m²","Achtertuin en voortuin","54 m² (6 meter diep en 9 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","1 auto"
"3","Sphinxlunet 48 C","27 februari 2021","15 maart 2021","2 weken","€ 275.000 kosten koper","€ 3.929","Verkocht","€ 146,92 per maand","Portiekflat (corridorflat)","Bestaande bouw","1992","Plat dak","70 m²","14 m²","4 m²","200 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","2e woonlaag","Elektra",NA,"Gedeeltelijk dubbel glas","Stadsverwarming","Stadsverwarming",NA,"Volle eigendom","In woonwijk",NA,"Inpandig",NA,"Betaald parkeren","Ja","Ja","Ja (€ 146,92 per maand)","Ja","Ja","Ja",NA,NA,NA,"B 1,28 Wat betekent dit?",NA,NA,NA,NA,NA
"4","Dokter Bakstraat 5 D","5 maart 2021","17 maart 2021","12 dagen","€ 375.000 kosten koper","€ 3.472","Verkocht","€ 272,00 per maand","Portiekflat","Bestaande bouw","1971",NA,"108 m²","10 m²","8 m²","360 m³","4 kamers (2 slaapkamers)",NA,NA,"1 woonlaag",NA,NA,NA,NA,NA,NA,NA,"Volle eigendom",NA,NA,NA,NA,NA,"Ja","Ja","Ja (€ 272,00 per maand)","Ja","Ja","Ja",NA,NA,NA,"E 2,34 Wat betekent dit?",NA,NA,NA,NA,NA
"5","Grétrystraat 11","16 januari 2021","15 februari 2021","4 weken","€ 298.000 kosten koper","€ 1.987","Verkocht",NA,NA,"Bestaande bouw","1969","Zadeldak bedekt met pannen","150 m²",NA,"14 m²","707 m³","7 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen en een kelder",NA,"Dakraam, natuurlijke ventilatie, rolluiken en TV kabel",NA,"Geen isolatie","Cv-ketel","Geiser (huur)","CV (VR Radson) (gas gestookt uit 1991, eigendom)","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk",NA,NA,"Vrijstaande stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","68 m²","290 m²","F Wat betekent dit?","290 m²","Achtertuin, voortuin en zijtuin",NA,NA,"1 auto"
"6","Cassédonk 18","13 januari 2021","29 januari 2021","2 weken","€ 369.000 kosten koper","€ 2.171","Verkocht",NA,NA,"Bestaande bouw","1970","Zadeldak bedekt met pannen","170 m²",NA,NA,"601 m³","8 kamers (6 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,"Elektra",NA,"Dakisolatie, dubbel glas, HR-glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2018, eigendom","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Aangebouwde stenen berging",NA,"Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","9 m²","290 m²","C Wat betekent dit?","290 m²","Achtertuin en voortuin",NA,NA,NA
"7","Frans Fouraschenstraat 11","27 januari 2021","9 februari 2021","13 dagen","€ 725.000 kosten koper","€ 4.966","Verkocht",NA,NA,"Bestaande bouw","2020","Plat dak","146 m²",NA,NA,"577 m³","4 kamers (3 slaapkamers)",NA,NA,"3 woonlagen",NA,"Zonnepanelen",NA,"Dakisolatie, HR-glas, muurisolatie en vloerisolatie","Stadsverwarming","Stadsverwarming",NA,"Volle eigendom","In centrum",NA,NA,"Parkeerplaats","Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning",NA,"90 m²","A Wat betekent dit?","90 m²","Achtertuin",NA,NA,NA
"8","Bergerstraat 93 93A","27 oktober 2020","17 maart 2021","4½ maand","€ 899.000 kosten koper","€ 4.994","Verkocht",NA,NA,"Bestaande bouw","1930","Mansarde dak bedekt met pannen","180 m²","7 m²",NA,"1.050 m³","8 kamers (8 slaapkamers)","3 badkamers en 3 aparte toiletten","3 douches en 3 toiletten","3 woonlagen en een kelder",NA,"Mechanische ventilatie en TV kabel",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Nefit (gas gestookt uit 2020, huur)","Volle eigendom","In woonwijk",NA,NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","34 m²","200 m²","E Wat betekent dit?","200 m²","Achtertuin en voortuin","0,01 meter diep en 0,01 meter breed","Gelegen op het zuiden",NA
"9","Haafkensborg 24","20 januari 2021","10 februari 2021","3 weken","€ 250.000 kosten koper","€ 2.137","Verkocht",NA,NA,"Bestaande bouw","1978","Zadeldak bedekt met pannen","117 m²",NA,"6 m²","384 m³","7 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,"Elektra",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2015, huur","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"130 m²","C Wat betekent dit?","130 m²","Achtertuin en voortuin","54 m² (9,75 meter diep en 5,5 meter breed)","Gelegen op het westen bereikbaar via achterom",NA
"10","Kavelnummer (Bouwnr. A37)","27 oktober 2020","10 maart 2021","4 maanden","€ 329.000 vrij op naam","€ 4.165","Verkocht",NA,"Portiekflat","Nieuwbouw","2021",NA,"79 m²",NA,NA,"209 m³","3 kamers",NA,NA,"1 woonlaag",NA,NA,"A Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,"Niet aanwezig, wel mogelijk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zonneterras",NA,NA,NA
