Selling Duration (in days),Selling Price (in euros),stad,Bouwjaar
14,299000,dordrecht,1964
26,127500,dordrecht,1954
34,549500,dordrecht,1900
28,2e+05,dordrecht,1928
24,175000,dordrecht,1885
36,175000,dordrecht,1967
75,339950,dordrecht,1984
25,309500,dordrecht,1933
52,195000,dordrecht,1954
20,225000,dordrecht,1922
21,159000,dordrecht,1960
23,375000,dordrecht,2015
11,298000,dordrecht,1982
13,115000,dordrecht,1965
26,219000,dordrecht,1750
0,4e+05,dordrecht,1910
22,249500,dordrecht,1904
139,579750,dordrecht,1934
28,167500,dordrecht,1954
22,245000,dordrecht,1995
12,190000,dordrecht,1938
23,265000,dordrecht,1988
35,195000,dordrecht,1900
19,339000,dordrecht,1972
19,132000,dordrecht,1959
23,275000,dordrecht,1990
21,239000,dordrecht,1979
38,185000,dordrecht,1958
16,364045,dordrecht,2020
27,469500,dordrecht,1979
52,469000,dordrecht,2004
20,450000,dordrecht,2016
-1,125000,dordrecht,1936
16,485000,dordrecht,1979
134,275000,dordrecht,1968
10,619000,dordrecht,1961
22,250000,dordrecht,1984
12,197500,dordrecht,1977
12,137500,dordrecht,1952
262,735000,dordrecht,1721
28,210000,dordrecht,1939
19,289000,dordrecht,1973
63,364900,dordrecht,1997
35,175000,dordrecht,1922
26,289500,dordrecht,2007
33,435000,dordrecht,1926
32,175000,dordrecht,1978
323,1075000,dordrecht,2021
67,210000,dordrecht,1933
32,175000,dordrecht,1900
49,298000,dordrecht,1915
261,735000,dordrecht,1721
21,225000,dordrecht,1931
22,650000,dordrecht,2007
8,325000,dordrecht,2018
17,235000,dordrecht,1910
27,225000,dordrecht,1932
22,249000,dordrecht,1969
21,235000,dordrecht,1967
26,235000,dordrecht,1974
90,295000,dordrecht,1963
76,495000,dordrecht,1934
181,309000,dordrecht,1980
20,298000,dordrecht,1964
32,295000,dordrecht,1902
24,197500,dordrecht,1952
60,289000,dordrecht,1967
22,689000,dordrecht,1839
21,2e+05,dordrecht,1930
12,167000,dordrecht,1915
10,259000,dordrecht,1981
26,415000,dordrecht,1968
59,229500,dordrecht,1910
46,175000,dordrecht,1968
18,350000,dordrecht,2004
45,269000,dordrecht,1979
27,265000,dordrecht,1989
5,3e+05,dordrecht,1968
33,275000,dordrecht,1988
19,215000,dordrecht,1976
21,459000,dordrecht,1995
66,210000,dordrecht,1926
19,170000,dordrecht,1936
29,265000,dordrecht,1929
31,339000,dordrecht,1971
28,275000,dordrecht,1938
11,169500,dordrecht,1964
150,425000,dordrecht,2020
59,269000,dordrecht,1978
21,165000,dordrecht,1900
17,350000,dordrecht,1991
12,2e+05,dordrecht,1926
20,185000,dordrecht,2012
21,167000,dordrecht,1906
12,239000,dordrecht,2006
62,789000,dordrecht,1750
51,155000,dordrecht,1910
20,250000,dordrecht,1976
68,225000,dordrecht,1988
15,140000,dordrecht,1982
25,339500,dordrecht,1971
516,750000,dordrecht,1850
56,175000,dordrecht,1886
61,495000,dordrecht,1995
23,225000,dordrecht,1975
23,519000,dordrecht,1731
17,350000,dordrecht,2019
21,159500,dordrecht,1935
40,169500,dordrecht,1960
17,335000,dordrecht,2005
49,239000,dordrecht,1922
44,350000,dordrecht,1909
28,398500,dordrecht,1934
26,239000,dordrecht,1976
21,169000,dordrecht,1986
12,525000,dordrecht,1934
13,220000,dordrecht,1975
29,275000,dordrecht,1985
27,2e+05,dordrecht,1933
17,205000,dordrecht,2004
28,225000,dordrecht,2006
12,188000,dordrecht,1958
55,375000,dordrecht,1740
91,299000,dordrecht,1995
28,155000,dordrecht,1961
25,299500,dordrecht,1900
33,239000,dordrecht,1971
19,175000,dordrecht,1980
22,165000,dordrecht,1956
21,175000,dordrecht,1964
68,425000,dordrecht,1992
23,289000,dordrecht,1999
54,375000,dordrecht,1908
14,450000,dordrecht,1998
90,4e+05,dordrecht,2019
21,192500,dordrecht,1906
57,1295000,dordrecht,2008
14,279000,dordrecht,1977
41,275000,dordrecht,1972
42,225000,dordrecht,1937
30,375000,dordrecht,2011
50,219000,dordrecht,1937
21,195000,dordrecht,1980
216,325000,dordrecht,1910
24,165000,dordrecht,1961
18,225000,dordrecht,1908
15,350000,dordrecht,1998
21,280000,dordrecht,1986
14,285000,dordrecht,1995
20,350000,dordrecht,2017
15,185000,dordrecht,1929
35,699000,dordrecht,1899
25,120000,dordrecht,1958
27,389000,dordrecht,1954
35,589000,dordrecht,2019
17,295000,dordrecht,1973
3,250000,dordrecht,1983
17,450000,dordrecht,1999
14,695000,dordrecht,1991
17,350000,dordrecht,1998
19,389000,dordrecht,1998
12,209000,dordrecht,1931
135,269000,dordrecht,1935
30,345000,dordrecht,1929
19,137500,dordrecht,1920
74,240000,dordrecht,1953
66,359000,dordrecht,1906
89,225000,dordrecht,1938
69,750000,dordrecht,1902
139,325000,dordrecht,1938
265,475000,dordrecht,1933
51,5e+05,dordrecht,1997
91,5e+05,dordrecht,1997
86,169500,dordrecht,1902
90,739000,dordrecht,1913
27,299500,dordrecht,1981
35,2e+05,dordrecht,1924
26,199000,dordrecht,1928
14,127500,dordrecht,1959
175,450000,dordrecht,1993
32,136500,dordrecht,1959
16,475000,dordrecht,1964
51,269000,dordrecht,1968
14,175000,dordrecht,1930
29,339000,dordrecht,1995
285,577200,dordrecht,2021
36,289000,dordrecht,1975
26,350000,dordrecht,1968
29,150000,dordrecht,1964
17,179500,dordrecht,1965
18,435000,dordrecht,1995
31,275000,dordrecht,1971
11,379500,dordrecht,2008
19,199500,dordrecht,1934
0,225000,dordrecht,1977
298,545000,dordrecht,2020
36,275000,dordrecht,1993
14,179950,dordrecht,1972
11,245000,dordrecht,1980
14,275000,dordrecht,1969
60,247500,dordrecht,1940
79,210000,dordrecht,1938
71,695000,dordrecht,1906
22,289000,dordrecht,1961
30,219000,dordrecht,1938
10,225000,dordrecht,2006
259,656900,dordrecht,2021
259,647500,dordrecht,2021
77,315000,dordrecht,2000
106,299000,dordrecht,1928
39,315000,dordrecht,2020
97,268500,dordrecht,1982
1,525000,dordrecht,1935
36,520000,dordrecht,1998
24,215000,dordrecht,1937
51,450000,dordrecht,1935
47,207000,dordrecht,1958
51,279000,dordrecht,2005
21,225000,dordrecht,2004
9,325000,dordrecht,1968
112,435000,dordrecht,2007
9,175000,dordrecht,1968
69,499000,dordrecht,2020
22,257500,dordrecht,1981
29,269000,dordrecht,1982
29,459000,dordrecht,1932
38,225000,dordrecht,1933
20,189000,dordrecht,1933
25,165000,dordrecht,1957
25,2e+05,dordrecht,1980
22,377500,dordrecht,2012
70,495000,dordrecht,1899
75,4e+05,dordrecht,1981
191,650000,dordrecht,2008
12,4e+05,dordrecht,1990
25,219000,dordrecht,1937
12,175000,dordrecht,1978
3,480000,dordrecht,1896
21,167500,dordrecht,1932
54,289500,dordrecht,1984
21,275000,dordrecht,1906
18,265000,dordrecht,1994
19,355000,dordrecht,1998
14,175000,dordrecht,1965
0,345000,dordrecht,1906
26,225000,dordrecht,1904
17,185000,dordrecht,1932
10,135000,dordrecht,1959
33,184500,dordrecht,1932
12,150000,dordrecht,1975
13,299500,dordrecht,2012
0,185000,dordrecht,2012
35,275000,dordrecht,1988
20,285000,dordrecht,1982
242,695000,dordrecht,2006
25,289000,dordrecht,1976
28,2e+05,dordrecht,1972
19,375000,dordrecht,1930
42,2e+05,dordrecht,1925
64,325000,dordrecht,1978
72,539000,dordrecht,2004
41,150000,dordrecht,1971
35,295000,dordrecht,1935
26,175000,dordrecht,1973
28,225000,dordrecht,1980
20,4e+05,dordrecht,2003
26,290000,dordrecht,1995
31,375000,dordrecht,1825
16,279000,dordrecht,1969
42,225000,dordrecht,1976
28,310000,dordrecht,1998
31,495000,dordrecht,1980
35,105000,dordrecht,1965
17,180000,dordrecht,1937
-8,550000,dordrecht,1934
70,325000,dordrecht,1908
14,359000,dordrecht,1995
26,3e+05,dordrecht,1969
75,189500,dordrecht,1929
9,85000,dordrecht,1958
62,175000,dordrecht,1956
27,250000,dordrecht,1914
31,249500,dordrecht,1977
28,395000,dordrecht,1994
13,160000,dordrecht,1933
186,819000,dordrecht,2006
32,175000,dordrecht,1933
22,650000,dordrecht,1900
23,140000,dordrecht,1956
21,319000,dordrecht,1956
61,549000,dordrecht,1550
14,165000,dordrecht,1962
11,235000,dordrecht,1936
91,329000,dordrecht,2000
14,149000,dordrecht,1961
17,219000,dordrecht,1969
17,849000,dordrecht,2007
24,195000,dordrecht,1890
20,175000,dordrecht,1978
13,319000,dordrecht,1994
26,289000,dordrecht,1967
0,350000,dordrecht,1924
13,399000,dordrecht,1998
19,175000,dordrecht,1967
44,185000,dordrecht,1932
0,3e+05,dordrecht,1936
36,205000,dordrecht,1931
24,185000,dordrecht,1890
104,344000,dordrecht,1721
7,235000,dordrecht,2003
20,265000,dordrecht,1982
32,325000,dordrecht,1969
17,249000,dordrecht,1980
18,179000,dordrecht,1957
34,199000,dordrecht,1921
114,350000,dordrecht,1800
24,185000,dordrecht,1931
14,219000,dordrecht,1978
22,645000,dordrecht,2005
26,175000,dordrecht,1650
14,329000,dordrecht,2009
28,169500,dordrecht,1964
16,249500,dordrecht,1965
112,725000,dordrecht,1721
112,515000,dordrecht,1721
112,344000,dordrecht,1721
14,339000,dordrecht,1973
73,689000,dordrecht,1968
23,140000,dordrecht,1964
10,225000,dordrecht,1979
20,275000,dordrecht,1998
20,165000,dordrecht,1962
1,235000,dordrecht,1986
56,595000,dordrecht,1650
18,175000,dordrecht,1978
1,210000,dordrecht,1935
20,499000,dordrecht,1825
27,225000,dordrecht,1982
179,1145000,dordrecht,1778
14,187500,dordrecht,1958
12,220000,dordrecht,2005
41,189999,dordrecht,1935
32,3e+05,dordrecht,2000
112,449500,dordrecht,1981
37,175000,dordrecht,1924
14,280000,dordrecht,1990
17,365000,dordrecht,2011
21,175000,dordrecht,1967
10,485000,dordrecht,1962
20,299000,dordrecht,1964
83,325000,dordrecht,2005
70,550000,dordrecht,1942
41,159000,dordrecht,1978
27,279500,dordrecht,1983
14,219000,dordrecht,1938
18,232500,dordrecht,1978
24,289000,dordrecht,1968
20,180000,dordrecht,1930
240,361500,dordrecht,2020
331,359000,dordrecht,2020
150,422500,dordrecht,2020
214,412500,dordrecht,2020
321,292500,dordrecht,2020
321,292500,dordrecht,2020
29,225000,dordrecht,1938
18,665000,dordrecht,2007
256,849000,dordrecht,2007
13,2e+05,dordrecht,1977
108,395000,dordrecht,1989
18,175000,dordrecht,1967
20,345000,dordrecht,1996
653,625000,dordrecht,1650
18,170000,dordrecht,1979
17,675000,dordrecht,1970
11,525000,dordrecht,1995
39,430000,dordrecht,1875
30,155000,dordrecht,1910
33,172500,dordrecht,1978
16,235000,dordrecht,1980
153,515000,dordrecht,1721
19,335000,dordrecht,1966
56,310000,dordrecht,1920
16,395000,dordrecht,1986
29,319000,dordrecht,1997
23,285000,dordrecht,1964
9,225000,dordrecht,1976
32,189000,dordrecht,1932
17,425000,dordrecht,1997
49,3e+05,dordrecht,1976
142,865000,dordrecht,2009
83,445000,dordrecht,2003
17,285000,dordrecht,1995
15,399500,dordrecht,2004
24,275000,dordrecht,2005
41,4e+05,dordrecht,1777
33,175000,dordrecht,1921
10,139500,dordrecht,2008
22,250000,dordrecht,1992
20,215000,dordrecht,1924
22,189500,dordrecht,1910
13,215000,dordrecht,2004
-1,147500,dordrecht,1968
16,259000,dordrecht,1976
17,239900,dordrecht,1939
90,575000,dordrecht,2004
81,490000,dordrecht,1978
25,209500,dordrecht,1937
33,135000,dordrecht,1960
64,269000,dordrecht,1987
5,137500,dordrecht,1915
77,565000,dordrecht,1998
13,1250000,dordrecht,2020
