"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Overige inpandige ruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Voortuin","Ligging tuin","Soort garage","Capaciteit","Soort parkeergelegenheid","Soort appartement","Gebouwgebonden buitenruimte","Externe bergruimte","Balkon/dakterras","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Schuur/berging","Bijdrage VvE","Gelegen op","Voorlopig energielabel","Bouwperiode","Achtertuin"
"1","Sumatrastraat 9","1 maart 2021","15 maart 2021","14 dagen","€ 169.500 kosten koper","€ 1.863","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw","1930","Zadeldak bedekt met pannen","91 m²","14 m²","182 m²","371 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Elektrische deur en elektra","D Wat betekent dit?","Dakisolatie, grotendeels dubbelglas, muurisolatie en vloerisolatie","Cv-ketel en houtkachel","Cv-ketel","Vaillant VHR (gas gestookt combiketel uit 2004, eigendom)","182 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","28 m² (5,5 meter diep en 5 meter breed)","Gelegen op het zuiden","Vrijstaande stenen garage","1 auto","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Oostersingel 68 R","8 februari 2021","8 maart 2021","4 weken","€ 535.000 kosten koper","€ 2.277","Verkocht",NA,"Bestaande bouw","2004",NA,"235 m²","40 m²",NA,"854 m³","8 kamers (5 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad","2 woonlagen","Dakraam, glasvezelkabel, lift, natuurlijke ventilatie en TV kabel","A Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Intergas Kobi kompakt (gas gestookt combiketel uit 2021, eigendom)",NA,"Volle eigendom","Aan rustige weg en vrij uitzicht",NA,NA,NA,"Parkeerkelder",NA,"Parkeergarage","Penthouse (dubbel bovenhuis)","13 m²","18 m²","Balkon aanwezig","Ja","Ja","Ja","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA
"3","Ype Poortingawei 17","18 januari 2021","25 februari 2021","5 weken","€ 297.500 kosten koper","€ 2.633","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1990","Dwarskap bedekt met pannen","113 m²","17 m²","244 m²","448 m³","6 kamers (3 slaapkamers)","1 badkamer","Douche en toilet","3 woonlagen","Elektrische deur en elektra","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt uit 2013, eigendom)","244 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk",NA,NA,NA,"Aangebouwde stenen garage","1 auto","Op eigen terrein",NA,"5 m²","5 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,NA
"4","Uiterdijksterweg 8 3","23 februari 2021","16 maart 2021","3 weken","€ 125.000 kosten koper","€ 1.359","Verkocht",NA,"Bestaande bouw","1966","Plat dak bedekt met bitumineuze dakbedekking","92 m²",NA,NA,"297 m³","3 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","Lift",NA,NA,"Blokverwarming","Elektrische boiler (huur)",NA,NA,"Gemeentelijk eigendom belast met erfpacht","Aan drukke weg, in woonwijk, open ligging en vrij uitzicht",NA,NA,NA,NA,NA,NA,"Galerijflat (appartement)","8 m²","5 m²",NA,"Ja","Ja","Ja (€ 118,63 per maand)","Ja","Ja","Ja","Inpandig","€ 118,63 per maand","3e woonlaag","E Wat betekent dit?",NA,NA
"5","Bouwnummer (Bouwnr. 1)","21 april 2018","19 maart 2021","34½ maand","€ 369.750 vrij op naam","€ 3.081","Verkocht",NA,"Nieuwbouw","2020",NA,"120 m²",NA,NA,"372 m³","5 kamers (2 slaapkamers)","1 badkamer","Zitbad en douche","1 woonlaag","Mechanische ventilatie en zonnecollectoren",NA,"Volledig geïsoleerd","Warmtepomp",NA,NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Portiekwoning",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Wat betekent dit?",NA,NA
"6","Nijlânsdyk 213 d","27 februari 2021","12 maart 2021","13 dagen","€ 167.500 kosten koper","€ 2.326","Verkocht",NA,"Bestaande bouw",NA,"Plat dak","72 m²",NA,NA,"238 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet",NA,"4 woonlagen","Elektra",NA,"Dakisolatie en dubbel glas","Blokverwarming","Geiser",NA,NA,"Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht",NA,NA,NA,NA,NA,"Openbaar parkeren","Portiekflat (appartement)","6 m²","5 m²","Balkon aanwezig","Ja","Ja","Ja (€ 129,00 per maand)","Ja","Ja","Ja","Inpandig","€ 129,00 per maand","4e woonlaag","E Wat betekent dit?","1960-1970",NA
"7","Mockemastate 19","19 februari 2021","6 maart 2021","2 weken","€ 219.000 kosten koper","€ 2.212","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1982","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","99 m²","30 m²","202 m²","443 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen","Elektrische deur en elektra",NA,"Geen isolatie","Stadsverwarming","Stadsverwarming",NA,"202 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"C Wat betekent dit?",NA,"65 m² (13 meter diep en 5 meter breed)"
"8","Watermunt 36","7 januari 2021","1 februari 2021","3 weken","€ 245.000 kosten koper","€ 1.561","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1974","Zadeldak bedekt met pannen","157 m²",NA,"208 m²","578 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen",NA,"D Wat betekent dit?","Geen isolatie",NA,"Cv-ketel",NA,"47 m²","Volle eigendom","In woonwijk","Achtertuin en zijtuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"3 m²","2 m²","Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"60 m² (8 meter diep en 7,5 meter breed)"
"9","Groot Schavernek 7 B","23 januari 2021","1 maart 2021","5 weken","€ 225.000 kosten koper","€ 2.744","Verkocht",NA,"Bestaande bouw","2010","Plat dak bedekt met bitumineuze dakbedekking","82 m²","3 m²",NA,"300 m³","3 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","Mechanische ventilatie",NA,NA,"Cv-ketel","Cv-ketel","Gas gestookt combiketel, eigendom",NA,"Volle eigendom","Aan drukke weg en in centrum",NA,NA,NA,NA,NA,"Betaald parkeren en parkeervergunningen","Portiekflat (appartement)","6 m²","4 m²",NA,"Nee","Nee","Nee","Nee","Nee","Nee","Inpandig",NA,"1e woonlaag","A Wat betekent dit?",NA,NA
"10","Frans van Mierisstraat 21","23 februari 2021","24 februari 2021","1 dag","Prijs op aanvraag",NA,NA,"Eengezinswoning, tussenwoning","Bestaande bouw","1935",NA,NA,NA,NA,"301 m³","4 kamers (3 slaapkamers)",NA,NA,NA,NA,"D Wat betekent dit?",NA,NA,NA,NA,"81 m² wonen / 98 m² perceel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
