Adres,city,price,sellingduration,constructionyear
Monarda 5,dordrecht,299000,14,1964
Reigerstraat 70,dordrecht,127500,26,1954
Blekersdijk 43,dordrecht,549500,34,1900
Jacob van Lennepstraat 22,dordrecht,2e+05,28,1928
Anthonie Camerlingstraat 21,dordrecht,175000,24,1885
Abraham Kuyperweg 250,dordrecht,175000,36,1967
Suze Groeneweg-erf 428,dordrecht,339950,75,1984
Jan Vethkade 23,dordrecht,309500,25,1933
René van Chalônstraat 47,dordrecht,195000,52,1954
Toloysenstraat 1,dordrecht,225000,20,1922
Van Bosseplantsoen 120,dordrecht,159000,21,1960
Werf van De Biesbosch 86,dordrecht,375000,23,2015
Rudyard Kipling-erf 8,dordrecht,298000,11,1982
Beekmanstraat 91,dordrecht,115000,13,1965
Voorstraat 327,dordrecht,219000,26,1750
Reeweg Oost 6,dordrecht,4e+05,0,1910
De la Reystraat 37,dordrecht,249500,22,1904
Rechte Zandweg 22,dordrecht,579750,139,1934
Anna van Burenstraat 18,dordrecht,167500,28,1954
Achterhakkers 56,dordrecht,245000,22,1995
Van Blanckenburgstraat 93,dordrecht,190000,12,1938
Henriëtte Roland Holst-erf 142,dordrecht,265000,23,1988
Adriaan van Altenastraat 14,dordrecht,195000,35,1900
Herculesring 4,dordrecht,339000,19,1972
Troelstraweg 12,dordrecht,132000,19,1959
Johanna Naber-erf 403,dordrecht,275000,23,1990
Heimerstein 40,dordrecht,239000,21,1979
Van Aerssenstraat 11,dordrecht,185000,38,1958
Patersweg BN7,dordrecht,364045,16,2020
Arkelstein 19,dordrecht,469500,27,1979
Spuiboulevard 262 b,dordrecht,469000,52,2004
Werf van De Biesbosch 73,dordrecht,450000,20,2016
Weissenbruchstraat 27,dordrecht,125000,-1,1936
Halmaheiraplein 6,dordrecht,485000,16,1979
Schipbeekstraat 21,dordrecht,275000,134,1968
Twintighoevenweg 39,dordrecht,619000,10,1961
Joke Smit-erf 59,dordrecht,250000,22,1984
Nagtegaalplaats 7,dordrecht,197500,12,1977
Reigerstraat 72,dordrecht,137500,12,1952
Wolwevershaven 39 D,dordrecht,735000,262,1721
Soembastraat 15,dordrecht,210000,28,1939
Lyra 3,dordrecht,289000,19,1973
Balsa 198,dordrecht,364900,63,1997
Leliestraat 25,dordrecht,175000,35,1922
Stierstraat 47 R,dordrecht,289500,26,2007
Stooplaan 7,dordrecht,435000,33,1926
Remmerstein 58,dordrecht,175000,32,1978
De Stadswerven - The Yard (Bouwnr. 24),dordrecht,1075000,323,2021
Breitnerstraat 47,dordrecht,210000,67,1933
Reeweg Oost 43,dordrecht,175000,32,1900
Dubbeldreef 9,dordrecht,298000,49,1915
Wolwevershaven 39 D,dordrecht,735000,261,1721
Nessestraat 53,dordrecht,225000,21,1931
Hovenlaan 20,dordrecht,650000,22,2007
Frans Naereboutstraat 30,dordrecht,325000,8,2018
Geldelozepad 133,dordrecht,235000,17,1910
Breitnerstraat 7,dordrecht,225000,27,1932
Eastonstraat 26,dordrecht,249000,22,1969
Polluxhof 28,dordrecht,235000,21,1967
Haringvlietstraat 111,dordrecht,235000,26,1974
Erica 11,dordrecht,295000,90,1963
Oranjelaan 59,dordrecht,495000,76,1934
Essenburg 64,dordrecht,309000,181,1980
Reseda 12,dordrecht,298000,20,1964
Hallincqhof 2,dordrecht,295000,32,1902
Amalia van Solmsstraat 24,dordrecht,197500,24,1952
Gravensingel 15,dordrecht,289000,60,1967
Wijnstraat 160,dordrecht,689000,22,1839
Nieuwe Hilstraat 1,dordrecht,2e+05,21,1930
Maasstraat 42,dordrecht,167000,12,1915
Rudyard Kipling-erf 165,dordrecht,259000,10,1981
Kastanjelaan 19,dordrecht,415000,26,1968
Generaal van der Heijdenstraat 5,dordrecht,229500,59,1910
Schipbeekstraat 174,dordrecht,175000,46,1968
Spuiboulevard 232 E,dordrecht,350000,18,2004
Luchtenburg 142,dordrecht,269000,45,1979
Johanna Naber-erf 520,dordrecht,265000,27,1989
Noordhoevelaan 17,dordrecht,3e+05,5,1968
Aletta Jacobs-erf 83,dordrecht,275000,33,1988
Mildenburg 88,dordrecht,215000,19,1976
Burgemeester Beelaertspark 63,dordrecht,459000,21,1995
J.J.A. Goeverneurstraat 17,dordrecht,210000,66,1926
Pelserstraat 42,dordrecht,170000,19,1936
Weeskinderendijk 141,dordrecht,265000,29,1929
Venuslaan 2,dordrecht,339000,31,1971
Diepenbrockweg 128,dordrecht,275000,28,1938
Generaal S.H. Spoorstraat 445,dordrecht,169500,11,1964
